Source,Destination,Number of Tweets
EG,IN,410.0
CG,AU,152.0
CZ,IN,360.0
VE,IT,218.0
PK,HK,344.0
TR,AU,580.0
AU,IL,474.0
CG,IN,1014.0
KR,BD,687.0
IN,SG,2703.0
HK,TR,424.0
RU,AU,192.0
RU,LB,43.0
NP,US,1723.0
RS,AU,209.0
BE,IE,992.0
IL,BR,732.0
NG,DE,1485.0
FJ,NZ,135.0
IN,IL,2638.0
BR,JP,316.0
US,HN,868.0
HK,CH,741.0
CO,CL,1479.0
PL,DE,1282.0
VN,PH,166.0
MX,NG,600.0
NO,FI,46.0
OM,US,91.0
RU,PE,50.0
NG,ID,262.0
BE,ES,2512.0
PH,CH,155.0
SE,JP,742.0
IL,RO,65.0
ZA,IT,797.0
ID,SG,469.0
CA,VE,758.0
CA,DK,1369.0
HK,VE,460.0
IT,GR,389.0
IE,IN,402.0
AR,CA,154.0
HK,NA,32.0
CN,AE,298.0
IE,SE,101.0
AU,SE,1430.0
UY,ES,101.0
LK,KE,2.0
IQ,GB,781.0
CU,CL,1128.0
RU,ZA,871.0
IE,FI,18.0
JP,NL,330.0
SE,IN,784.0
ES,NO,203.0
BR,CO,188.0
TZ,IT,21.0
IL,AR,314.0
GB,NA,326.0
MZ,SE,148.0
TH,CA,678.0
PK,JP,116.0
CN,TW,942.0
HK,SE,719.0
GB,MU,506.0
CH,RO,131.0
VE,EC,786.0
MY,TR,392.0
KE,CA,997.0
IN,IR,69.0
TR,VI,6.0
ES,KR,198.0
AT,NL,1007.0
DK,ID,120.0
ES,NL,409.0
ID,CN,210.0
IT,ZA,383.0
AU,BE,648.0
DK,PL,352.0
PL,SI,187.0
HR,ZA,52.0
TC,TR,96.0
AG,ID,67.0
PT,DK,14.0
DE,MX,1061.0
BD,AU,136.0
TH,AT,33.0
TR,JO,30.0
DK,SK,33.0
NO,IT,197.0
CA,NL,2569.0
NL,GH,53.0
US,JE,2178.0
FR,IL,112.0
SA,IN,1297.0
PA,CA,204.0
IT,NG,677.0
FR,PK,197.0
US,CW,1568.0
SO,GB,68.0
AE,BD,8.0
MY,ZA,131.0
MX,MY,773.0
IT,CN,412.0
CR,PA,8.0
AU,TH,1445.0
ES,SE,313.0
FJ,TR,6.0
EG,GB,646.0
CM,NG,152.0
KP,GB,88.0
GR,BR,20.0
ZA,CF,105.0
PH,JP,431.0
NZ,JP,164.0
CM,US,473.0
KE,ES,320.0
NG,SE,211.0
JP,ID,1845.0
DE,NG,1388.0
AU,QA,26.0
US,MR,221.0
RS,BE,104.0
TH,CH,506.0
BE,PL,2354.0
MC,FR,413.0
SE,IE,96.0
AU,TR,401.0
GB,LY,911.0
CL,BM,1.0
IL,FR,583.0
KE,AT,254.0
VE,NL,65.0
IT,PK,710.0
CA,UG,169.0
EG,ES,33.0
FR,MY,384.0
JP,NG,108.0
BF,US,77.0
CO,JP,395.0
AG,JM,16.0
EG,KW,238.0
NO,GR,59.0
GB,CL,1347.0
VE,MC,8.0
MY,ZW,263.0
CF,NG,198.0
MY,CA,1273.0
ZW,DK,18.0
US,CY,446.0
SE,CO,330.0
MY,FR,111.0
GB,GD,33.0
