i,j,count
'AU','VE',52
'BE','IQ',44
'CU','ZA',10
'MX','ZA',57
'AM','DE',3
'TR','MX',25
'DK','CA',167
'MX','CL',90
'IT','PL',169
'KE','TW',17
'HK','PE',42
'MY','NO',25
'ZA','CM',26
'IL','KR',23
'GB','MC',118
'BR','FR',26
'RU','IN',93
'QA','GB',23
'PA','DE',19
'FR','CA',358
'TH','RO',2
'TN','US',77
'PK','IQ',20
'MX','PR',100
'HK','DK',107
'DE','PL',132
'DE','HU',10
'ZM','ZM',19
'GB','LU',14
'CA','NO',117
'ES','NP',3
'US','NI',28
'ZW','PK',94
'AU','GH',21
'GB','IR',103
'US','IS',110
'TR','GR',222
'CN','EG',16
'PS','GB',58
'GB','LB',97
'US','JO',182
'HK','CH',42
'FR','GR',15
'JP','CA',369
'ID','NG',14
'MY','AU',169
'PA','MX',84
'PE','SE',2
'TR','PG',11
'PK','CA',124
'GB','SI',35
'VE','BE',10
'PT','NG',316
'JP','VN',62
'VN','GR',9
'EG','SA',77
'NL','IL',7
'IT','CL',145
'GB','VI',9
'GB','MZ',2
'CH','CN',29
'AE','IR',1
'BE','CL',5
'CU','GR',6
'HK','ES',109
'US','AX',46
'MC','AE',3
'FR','CH',64
'GQ','US',5
'IE','AT',6
'NL','PT',43
'MY','SA',116
'PA','CN',16
'AE','SA',109
'CU','AR',87
'DE','RU',84
'CH','MY',44
'FR','UY',73
'CL','DO',57
'ZW','MY',81
'TH','GR',22
'DK','FI',11
'CU','BS',42
'BD','NL',11
'EE','EE',2
'NP','US',182
'FR','ZA',33
'KE','LS',1
'GR','IT',40
'AR','MX',108
'HK','VN',4
'CH','TH',11
'NG','KE',95
'CO','PE',63
'ES','HK',85
'CU','FR',109
'CZ','PH',2
'NG','MY',88
'EC','CA',43
'GB','BD',60
'DK','IN',24
'IN','PE',9
'IT','CO',109
'NL','NG',116
'DK','JP',25
'AM','GR',6
'MX','IT',108
'MX','BR',116
'CH','MR',2
'JP','CN',96
'PH','CH',31
'US','KG',12
'CL','CA',29
'TN','PS',5
'FI','EE',2
'RU','KW',1
'CA','LB',45
'BD','IN',145
'AU','AR',23
'CA','SK',15
'CH','NL',321
'KE','SG',3
'CA','RU',26
'IL','SA',20
'IN','AZ',53
'EG','IN',115
'ZA','BW',250
'PA','ES',60
'AU','ES',173
'ZA','NA',91
'HR','ID',25
'CA','CN',57
'AM','RS',18
'BR','CA',96
'CO','EC',226
'ZA','AT',25
'DE','TT',53
'JP','TR',42
'IL','PE',9
'AR','ZA',45
'JO','CA',8
'AI','US',4
'PH','ID',63
'HK','IE',36
'JP','DK',22
'GR','KR',6
'CH','TW',30
'CA','KN',7
'FI','NO',4
'CA','VI',20
'NG','IE',108
'TR','IL',9
'NZ','DE',36
'US','DJ',105
'AU','NZ',435
'CO','IN',43
'IL','MY',110
'CL','CU',39
'US','AI',56
'CA','AL',1
'US','GF',19
'GH','KE',14
'IE','ZA',36
'PS','BJ',1
'CO','PR',149
'KE','CA',95
'UY','AR',91
'RU','RS',20
'US','SL',62
'IL','MX',58
'ZA','RU',12
'ES','FR',110
'TZ','US',79
'IE','DE',30
'LB','MY',43
'PK','IT',106
'CG','IT',25
'MX','CU',16
'AR','CO',85
'IL','BE',105
'IN','NL',258
'BR','JP',35
'IL','BD',32
'SV','CO',33
'PL','AT',37
'AM','CA',14
'KE','AU',185
'MX','JP',96
'KR','AR',33
'US','NA',222
'ZA','BD',3
'IT','ZA',35
'AU','TR',30
'CA','TR',58
'RO','AU',8
'HK','EG',45
'BE','NO',122
'JP','ID',275
'TH','LA',131
'LB','PT',8
'CU','ES',134
'VI','SA',1
'CH','PK',24
'PL','RS',9
'RO','US',106
'SL','GB',1
'TZ','GB',52
'PK','HK',40
'MZ','MZ',42
'CU','EG',1
'US','AQ',28
'IL','PK',67
'KR','DK',7
'IE','AE',3
'CU','UY',80
'MZ','NO',1
'RS','CA',66
'US','PS',15
'HK','MX',195
'PK','KW',62
'MA','BJ',2
'TR','ME',17
'MX','AR',155
'MA','US',114
'NL','TR',36
'RS','AU',17
'CN','PK',209
'GB','FI',91
'CN','VN',36
'CH','MX',95
'KE','HK',136
'BN','AU',4
'RU','ES',25
'BQ','BR',6
'PE','MX',14
'HR','HR',115
'RU','CN',9
'DK','NG',60
'SA','DE',16
'BE','HR',82
'MX','PE',50
'NG','PL',46
'IT','RS',36
'CU','DO',29
'BE','IE',184
'BS','CA',9
'HK','MP',9
'AG','AU',9
'TL','TL',30
'TH','NG',3
'SA','JO',16
'MX','TH',39
'US','TN',196
'TR','UG',29
'GB','HR',357
'VE','PY',9
'AU','KH',27
'PS','ES',5
'ZA','IE',12
'BJ','CM',21
'ID','TH',119
'NO','PL',18
'TH','RU',4
'BO','BO',3
'CM','CM',330
'CO','IL',92
'PL','BE',72
'ZA','GR',3
'NO','GB',242
'MY','ES',14
'CN','VG',3
'AR','ES',99
'ZW','SK',1
'NO','CA',118
'KE','SD',19
'SE','MX',39
'ID','DE',77
'TR',None,2
'IQ','JP',11
'HT','US',79
'PG','US',38
'CA','ES',176
'BE','CH',128
'RU','NZ',4
'NG','TZ',10
'NA','CG',1
'PK','NG',35
'NG','CM',61
'CA','SG',44
'ID','IN',45
'RS','CH',14
'GB','TZ',25
'IQ','TH',4
'ES','AU',70
